industry,company_code,company_name,company_total_salary,company_employee_count,company_110average_salary,company_109average_salary,company_110median_salary,company_109median_salary,company_eps,industry_average_salary,industry_average_eps,is_under_50w,high_eps_low_salary,growth_but_low_salary,low_salary_reason
半導體業,3555,重鵬,13199000,16,825000,863000,796000,740000,0.93,1309000,7.6,,,V,1.本公司章程訂定，當年度稅前利益扣除分配員工酬勞及董監酬勞前之利益於彌補虧損後，如尚有餘額係提撥5%~20%為員工酬勞。2.110年因部分資深且薪資較高之員工離職，故平均數較前一年度減少。
半導體業,3556,禾瑞亞,250278000,165,1517000,1244000,1233000,994000,6.08,1309000,7.6,,,,
通信網路業,3558,神準,1322375000,1134,1166000,816000,693000,663000,9.16,831000,1.69,,,,
通信網路業,3564,其陽,133485000,163,819000,782000,673000,651000,0.75,831000,1.69,,,,
半導體業,3567,逸昌,83645000,132,634000,608000,538000,517000,3.09,1309000,7.6,,,,
資訊服務業,3570,大塚,160975000,143,1126000,1047000,900000,890000,8.5,896000,3.02,,,,
電腦及週邊設備業,3577,泓格,245760000,309,795000,677000,636000,586000,3.23,827000,5.12,,,,
其他電子業,3580,友威科,79825000,111,719000,686000,641000,598000,3.02,844000,3.68,,,,
半導體業,3581,博磊,103090000,113,912000,830000,791000,694000,2.11,1309000,7.6,,,,
其他電子業,3587,閎康,637925000,567,1125000,969000,983000,886000,9.48,844000,3.68,,,,
電腦及週邊設備業,3594,磐儀,129282000,182,710000,683000,605000,586000,0.3,827000,5.12,,,,"本公司因配置有組裝線, 產線直接人工人數約佔非擔任主管職務員工總人數之27%,因而拉低了整體平均薪資"
電子零組件業,3597,映興,71577000,146,490000,478000,409000,419000,2.1,730000,2.59,V,,,秉持根留台灣經營理念，在台之總公司仍配置多條生產線。員工薪資結構除管理階層及研發外，仍包含多數產線直接人員，此與同業多成本考量，將加工產線外移不同，因此其平均薪資略高本公司。故與同業比較尚無重大異常。
電子零組件業,3609,三一東林,40545000,62,654000,676000,578000,608000,0.01,730000,2.59,,,V,110年員工薪資平均數較上年度109年減少，主要係本公司110年部分資深人員離職，而新進人員薪資較低，故導致薪資平均數較109年衰退。
電腦及週邊設備業,3611,鼎翰,225957000,282,801000,731000,652000,577000,18.47,827000,5.12,,V,,本公司多年未發行新股對外籌資，故能維持較高之每股盈餘(EPS); 加上公司台灣工廠直接人員佔比較大，因而與同業相比有此差異。
光電業,3615,安可,73798000,110,671000,564000,529000,469000,1.43,818000,1.87,,,,
光電業,3623,富晶通,74205000,123,603000,531000,539000,484000,-1.24,818000,1.87,,,,
電子零組件業,3624,光頡,483639000,685,706000,614000,562000,530000,4.04,730000,2.59,,V,,110年營收及獲利增加，110年非擔任主管職務之全時員工薪資平均數為706仟元，110年相較109年薪資平均數增加15%，係因經營績效與員工薪酬為正向關聯，員工酬勞發放金額亦隨獲利增加而上升，故員工薪資平均數尚屬合理。
電腦及週邊設備業,3625,西勝,92432000,120,770000,810000,611000,764000,-1.92,827000,5.12,,,V,本公司110年離職人員、薪資未滿1年人數增加，以及110年新增產線直接人員。
其他電子業,3628,盈正,221265000,301,735000,724000,651000,640000,1.6,844000,3.68,,,,
文化創意業,3629,地心引力,32180000,50,644000,730000,510000,653000,-4.76,1063000,5.55,,,,
光電業,3630,新鉅科,219813000,295,745000,706000,614000,566000,-3.43,818000,1.87,,,,
電子零組件業,3631,晟楠,1046000,2,523000,476000,469000,531000,-0.16,730000,2.59,,,,
通信網路業,3632,研勤,29558000,34,869000,846000,680000,623000,-0.71,831000,1.69,,,,
其他電子業,3642,駿熠電,15159000,19,798000,793000,654000,622000,-2.32,844000,0.0,,,,
電子零組件業,3646,艾恩特,7631000,7,1090000,1025000,1013000,907000,2.17,730000,2.59,,,,
電腦及週邊設備業,3652,精聯,206035000,255,808000,766000,730000,690000,1.03,827000,5.12,,,,
其他電子業,3663,鑫科,146328000,200,732000,670000,700000,630000,0.96,844000,3.68,,,,
光電業,3666,光耀,156172000,235,665000,632000,613000,560000,-0.55,818000,1.87,,,,
通信網路業,3672,康聯訊,72244000,91,794000,789000,676000,635000,0.24,831000,1.69,,,,
半導體業,3675,德微,196978000,296,665000,609000,566000,526000,7.36,1309000,7.6,,,,
半導體業,3680,家登,267190000,348,768000,746000,629000,615000,4.03,1309000,7.6,,,,
通信網路業,3684,榮昌,47358000,65,729000,711000,534000,534000,3.5,831000,1.69,,V,,"因應疫情影響,為滿足生產需求,擴增從業人員,未滿六個月的員工人數佔全時員工之50%以上,致使全時員工薪資平均數略低於去年."
電機機械,3685,元創精密,6486000,7,927000,897000,720000,709000,0.05,657000,2.01,,,,
電子商務,3687,歐買尬,25059000,32,783000,823000,723000,730000,2.42,702000,4.08,,,V,EPS較前一年增加但非擔任主管全時平均薪資減少，主係因薪資較高之資深人員流動所致。
電子零組件業,3689,湧德,85115000,79,1077000,803000,1005000,691000,3.28,730000,2.59,,,,
光電業,3691,碩禾,194401000,213,913000,872000,757000,737000,-5.34,818000,1.87,,,,
電腦及週邊設備業,3693,營邦,317987000,412,772000,717000,631000,604000,3.08,827000,5.12,,,,
半導體業,3707,漢磊,742223000,816,910000,807000,806000,723000,0.73,1309000,7.6,,,,
電腦及週邊設備業,3709,鑫聯大投控,206964000,281,737000,732000,620000,621000,4.55,827000,5.12,,,,
電子零組件業,3710,連展投控,116342000,130,895000,834000,771000,736000,-2.5,730000,2.59,,,,
光電業,3713,新晶投控,20041000,41,489000,489000,448000,533000,0.43,818000,1.87,V,,,公司營運持續成長，人力需求逐年增加，EPS成長為公司全體努力之成果。另本年度因接案量增加故增聘較多基層員工，其薪資較中高階人員為低，導致拉低整體之平均薪資，惟薪資平均數仍接近50萬元，故未有明顯低薪。
生技醫療業,4102,永日,80302000,138,582000,642000,523000,568000,0.14,714000,1.39,,,,
生技醫療業,4105,東洋,619586000,530,1169000,1126000,992000,936000,3.35,714000,1.39,,,,
生技醫療業,4107,邦特,209402000,385,544000,566000,464000,501000,6.22,714000,1.39,,V,,1.110年仍有進行經常性薪資調薪，因受疫情影響，連帶使得員工之獎金及非經常性薪資受到影響而減少，但整體的人事費用率並未減少。2.111年度已針對基層員工進行結構性調薪，調薪幅度6.8%
